Key,Platform UI,Platform API,Legacy,Found
ads.ads_manager,TRUE,TRUE,FALSE,Yes
ads.ads_manager.edit_ads,TRUE,FALSE,FALSE,Yes
ads.ads_manager.modal,TRUE,FALSE,FALSE,Yes
api.email,FALSE,TRUE,FALSE,Yes
api.reset_email,FALSE,TRUE,TRUE,Yes
api.test,FALSE,TRUE,TRUE,Yes
chatbot.response,TRUE,FALSE,FALSE,Yes
commission_per_product.instructions,TRUE,FALSE,FALSE,Yes
dashboard.kpi,TRUE,FALSE,FALSE,Yes
datafeed::category,FALSE,FALSE,TRUE,Yes
datafeed::merchant,FALSE,FALSE,TRUE,Yes
find_publishers.field_options,TRUE,FALSE,FALSE,Yes
find_publishers.status_options,TRUE,FALSE,FALSE,Yes
help.tooltips.dashboard,TRUE,FALSE,FALSE,Yes
help.tooltips.reports,TRUE,FALSE,FALSE,Yes
integration.guide,TRUE,FALSE,TRUE,Yes
invite_publishers.sort_by_options,TRUE,FALSE,FALSE,Yes
login::username,FALSE,FALSE,TRUE,Yes
manage_groups.edit,TRUE,FALSE,FALSE,Yes
media.batch_ads,TRUE,FALSE,FALSE,Yes
media.create_advert,TRUE,FALSE,FALSE,Yes
media.media_group_manager,TRUE,FALSE,FALSE,Yes
media.media_manager.ad,TRUE,FALSE,FALSE,Yes
media.media_manager,TRUE,TRUE,FALSE,Yes
media.offers_manager,TRUE,FALSE,FALSE,Yes
media.product_feed_manager,TRUE,FALSE,FALSE,Yes
media.product_feed_manager.create,TRUE,FALSE,FALSE,Yes
miscellaneous.countries,TRUE,FALSE,FALSE,Yes
miscellaneous::mobile,FALSE,TRUE,FALSE,Yes
miscellaneous.validation,TRUE,FALSE,FALSE,Yes
modal.back.to,TRUE,FALSE,FALSE,Yes
modal.error,TRUE,FALSE,TRUE,Yes
modal.success,TRUE,FALSE,FALSE,Yes
oat.email,FALSE,TRUE,FALSE,Yes
oat.modal,TRUE,FALSE,TRUE,Yes
oat.modal.header_text_update_02_2021,TRUE,FALSE,TRUE,Yes
oat.modal.viewer,TRUE,FALSE,TRUE,Yes
oat.notifications,TRUE,FALSE,TRUE,Yes
product_feed.create_product_feed.modal,TRUE,FALSE,FALSE,Yes
product_feed.message,TRUE,FALSE,FALSE,Yes
product_feed.product_feed_manager,TRUE,FALSE,FALSE,Yes
program_settings.errors,TRUE,FALSE,FALSE,Yes
program_settings::ftp_username,FALSE,TRUE,FALSE,Yes
publisher_review.more_info,TRUE,TRUE,FALSE,Yes
publisher.activity.short,TRUE,FALSE,FALSE,Yes
publisher.advertisers.product_discovery,FALSE,TRUE,FALSE,Yes
publisher.emails,TRUE,FALSE,FALSE,Yes
publisher.offer,TRUE,FALSE,TRUE,Yes
publisher.signup.campaigns,TRUE,FALSE,FALSE,Yes
publisher.signup.terms_and_conditions,TRUE,FALSE,FALSE,Yes
publisher.signup.tooltip,TRUE,TRUE,FALSE,Yes
publisher.table,TRUE,FALSE,FALSE,Yes
publishers.pending_publishers,TRUE,FALSE,FALSE,Yes
reports.activity_overview,TRUE,FALSE,FALSE,Yes
reports.ad_spend,TRUE,FALSE,FALSE,Yes
reports::adjusted,FALSE,FALSE,TRUE,Yes
reports.device,TRUE,TRUE,FALSE,Yes
reports.my_reports,TRUE,FALSE,FALSE,Yes
reports.scheduler,TRUE,FALSE,FALSE,Yes
reports.transaction,TRUE,TRUE,TRUE,Yes
reports.transaction.info,TRUE,TRUE,TRUE,Yes
sidebar.datafeed,TRUE,FALSE,FALSE,Yes
sidebar.help_desk,TRUE,FALSE,FALSE,Yes
sidebar.media,TRUE,FALSE,FALSE,Yes
sidebar.publishers,TRUE,FALSE,FALSE,Yes
sidebar.reports,TRUE,FALSE,TRUE,Yes
sidebar.tools,TRUE,FALSE,FALSE,Yes
tools.batch_upload,TRUE,TRUE,TRUE,Yes
tools.commission_manager.active_modal,TRUE,FALSE,FALSE,Yes
tools.commission_manager,TRUE,TRUE,FALSE,Yes
tools.commission_manager.choose_publisher,TRUE,FALSE,FALSE,Yes
tools.email_promotions.archive,TRUE,FALSE,FALSE,Yes
tools.email_promotions.compose,TRUE,FALSE,FALSE,Yes
tools.email_promotions,TRUE,TRUE,TRUE,Yes
tools.email_promotions.tooltip,TRUE,FALSE,FALSE,Yes
tools.email_promotions.unsubscribe,TRUE,FALSE,FALSE,Yes
tools.history,TRUE,FALSE,FALSE,Yes
tools.transaction_batch_file_results,TRUE,FALSE,FALSE,Yes
tools.transaction_batch_file_upload_success,FALSE,FALSE,TRUE,Yes
transaction_enquiries.detail_labels,TRUE,FALSE,FALSE,Yes
user_management.access,FALSE,FALSE,TRUE,Yes
user_management.create,TRUE,TRUE,FALSE,Yes
user_management.delete_user_email,FALSE,TRUE,FALSE,Yes
user_management.email_validation,TRUE,TRUE,FALSE,Yes
user_management.new_user,TRUE,TRUE,TRUE,Yes
voucher_code_manager.create,TRUE,FALSE,FALSE,Yes
account_statement::invoice_contact_account_manager,FALSE,FALSE,FALSE,No
add_manual_commission::checking_transaction,FALSE,FALSE,FALSE,No
add_manual_commission::title,FALSE,FALSE,FALSE,No
add_manual_commission::transaction_adjustment,FALSE,FALSE,FALSE,No
add_manual_commission::transaction_adjustment_description,FALSE,FALSE,FALSE,No
add_manual_commission::transaction_exists,FALSE,FALSE,FALSE,No
add_manual_commission::transaction_id_not_found,FALSE,FALSE,FALSE,No
add_manual_commission::transaction_not_exists,FALSE,FALSE,FALSE,No
ads.ads_manager.ad_list,FALSE,FALSE,FALSE,No
advertiser::account_management_call,FALSE,FALSE,FALSE,No
advertiser::card_number,FALSE,FALSE,FALSE,No
advertiser::expiry_date,FALSE,FALSE,FALSE,No
advertiser::getting_your_programme_live,FALSE,FALSE,FALSE,No
advertiser::getting_your_programme_live_description,FALSE,FALSE,FALSE,No
advertiser::going_live,FALSE,FALSE,FALSE,No
